,City,Country,Lat,Long,Max Temp,Humidity,Wind Speed,Cloud Cover
291,Kipini,KE,-2.53,40.53,27.17,83,6.73,Rain
292,Kipini,KE,-2.53,40.53,27.17,83,6.73,Rain
293,Chapais,CA,49.78,-74.85,4.0,41,7.2,Clear
294,Chapais,CA,49.78,-74.85,4.0,41,7.2,Clear
295,Livramento,BR,-3.03,-60.18,31.0,70,2.1,Clouds
296,Livramento,BR,-3.03,-60.18,31.0,70,2.1,Clouds
297,Port-Cartier,CA,50.03,-66.87,3.0,95,3.6,Rain
298,Port-Cartier,CA,50.03,-66.87,3.0,95,3.6,Rain
299,Nabire,ID,-3.37,135.48,24.7,91,2.95,Rain
300,Nabire,ID,-3.37,135.48,24.7,91,2.95,Rain
301,Djibo,BF,14.1,-1.63,35.74,20,5.22,Clouds
302,Djibo,BF,14.1,-1.63,35.74,20,5.22,Clouds
303,Praia,CV,14.92,-23.51,23.0,78,6.7,Clouds
304,Praia,CV,14.92,-23.51,23.0,78,6.7,Clouds
305,Sola,VU,-13.88,167.55,28.0,83,2.9,Clouds
306,Sola,VU,-13.88,167.55,28.0,83,2.9,Clouds
307,Longyearbyen,SJ,78.22,15.64,-4.0,79,4.1,Snow
308,Longyearbyen,SJ,78.22,15.64,-4.0,79,4.1,Snow
309,Hof,DE,50.32,11.92,5.56,94,2.68,Clouds
310,Hof,DE,50.32,11.92,5.56,94,2.68,Clouds
311,Belaya Gora,RU,68.53,146.42,-5.81,96,1.68,Clouds
312,Belaya Gora,RU,68.53,146.42,-5.81,96,1.68,Clouds
313,Saint George,US,37.1,-113.58,27.22,12,3.1,Clear
314,Saint George,US,37.1,-113.58,27.22,12,3.1,Clear
315,Mar del Plata,AR,-38.0,-57.56,17.78,77,4.6,Clouds
316,Mar del Plata,AR,-38.0,-57.56,17.78,77,4.6,Clouds
317,Baft,IR,29.23,56.61,14.83,21,0.93,Clear
318,Baft,IR,29.23,56.61,14.83,21,0.93,Clear
319,San Cristobal,VE,7.77,-72.22,33.0,52,5.1,Clouds
320,San Cristobal,VE,7.77,-72.22,33.0,52,5.1,Clouds
321,Saint Paul Harbor,US,57.79,-152.41,8.0,87,5.1,Clouds
322,Grindavik,IS,63.84,-22.43,7.0,93,12.9,Drizzle
323,Grindavik,IS,63.84,-22.43,7.0,93,12.9,Drizzle
324,Mount Gambier,AU,-37.83,140.77,6.0,100,3.6,Clear
325,Mount Gambier,AU,-37.83,140.77,6.0,100,3.6,Clear
326,Dhidhdhoo,MV,6.88,73.1,29.67,80,5.26,Clouds
327,Dhidhdhoo,MV,6.88,73.1,29.67,80,5.26,Clouds
328,Marawi,PH,8.0,124.29,24.44,86,3.58,Clear
329,Marawi,PH,8.0,124.29,24.44,86,3.58,Clear
330,Airai,TL,-8.93,125.41,14.86,66,1.69,Clouds
331,Airai,TL,-8.93,125.41,14.86,66,1.69,Clouds
332,Faanui,PF,-16.48,-151.75,27.85,76,4.98,Clear
333,Faanui,PF,-16.48,-151.75,27.85,76,4.98,Clear
334,Ancud,CL,-41.87,-73.82,13.0,71,2.6,Clouds
335,Ancud,CL,-41.87,-73.82,13.0,71,2.6,Clouds
336,Bonthe,SL,7.53,-12.51,27.23,83,2.22,Clouds
337,Bonthe,SL,7.53,-12.51,27.23,83,2.22,Clouds
338,Kano,NG,12.0,8.52,31.0,45,1.0,Clouds
339,Kano,NG,12.0,8.52,31.0,45,1.0,Clouds
340,Jijiga,ET,9.35,42.8,18.37,53,0.36,Clouds
341,Jijiga,ET,9.35,42.8,18.37,53,0.36,Clouds
342,Quatre Cocos,MU,-20.21,57.76,24.44,83,3.6,Clouds
343,Quatre Cocos,MU,-20.21,57.76,24.44,83,3.6,Clouds
344,Klaksvík,FO,62.23,-6.59,7.0,75,5.1,Clouds
345,Klaksvík,FO,62.23,-6.59,7.0,75,5.1,Clouds
346,Krasnokholmskiy,RU,55.99,55.05,9.21,58,1.72,Clear
347,Krasnokholmskiy,RU,55.99,55.05,9.21,58,1.72,Clear
348,Varhaug,NO,58.61,5.65,6.0,76,5.7,Clear
349,Varhaug,NO,58.61,5.65,6.0,76,5.7,Clear
350,Porto Santo,PT,33.07,-16.34,19.0,68,4.1,Clouds
351,Porto Santo,PT,33.07,-16.34,19.0,68,4.1,Clouds
352,Hong Kong,HK,22.29,114.16,26.67,78,4.02,Clouds
353,Hong Kong,HK,22.29,114.16,26.67,78,4.02,Clouds
354,Saint-François,RE,-21.07,55.73,24.0,78,5.1,Clouds
355,Saint-François,FR,46.42,3.91,17.0,67,0.5,Clouds
356,Dikson,RU,73.51,80.55,-14.78,86,2.54,Clouds
357,Dikson,RU,73.51,80.55,-14.78,86,2.54,Clouds
358,Jos,NG,9.92,8.9,23.45,41,2.24,Clouds
359,Jos,NG,9.92,8.9,23.45,41,2.24,Clouds
360,Clyde River,CA,70.47,-68.59,-11.0,85,2.1,Snow
361,Clyde River,CA,70.47,-68.59,-11.0,85,2.1,Snow
362,Los Llanos de Aridane,ES,28.66,-17.92,20.0,64,2.6,Clouds
363,Los Llanos de Aridane,ES,28.66,-17.92,20.0,64,2.6,Clouds
364,Ekhabi,RU,53.51,142.97,-0.71,94,6.31,Clouds
365,Ekhabi,RU,53.51,142.97,-0.71,94,6.31,Clouds
366,Geraldton,AU,-28.77,114.6,20.0,94,2.6,Clouds
367,Geraldton,AU,-28.77,114.6,20.0,94,2.6,Clouds
368,Ukiah,US,39.15,-123.21,26.0,13,3.39,Clear
369,Ukiah,US,39.15,-123.21,26.0,13,3.39,Clear
370,Renfrew,GB,55.87,-4.39,8.33,65,4.6,Clear
371,Renfrew,GB,55.87,-4.39,8.33,65,4.6,Clear
372,Bredasdorp,ZA,-34.53,20.04,14.0,87,2.1,Clouds
373,Bredasdorp,ZA,-34.53,20.04,14.0,87,2.1,Clouds
374,Tiarei,PF,-17.53,-149.33,31.0,62,2.6,Clear
375,Tiarei,PF,-17.53,-149.33,31.0,62,2.6,Clear
376,Muzaffarnagar,IN,29.47,77.68,25.64,49,2.71,Rain
377,Muzaffarnagar,IN,29.47,77.68,25.64,49,2.71,Rain
378,Iberia,US,29.95,-91.75,29.0,58,6.2,Clouds
379,Iberia,US,29.95,-91.75,29.0,58,6.2,Clouds
380,Qaqortoq,GL,60.72,-46.03,6.0,56,1.5,Clouds
381,Qaqortoq,GL,60.72,-46.03,6.0,56,1.5,Clouds
382,Westport,US,41.14,-73.36,15.56,52,0.45,Clouds
383,Westport,US,41.14,-73.36,15.56,52,0.45,Clouds
384,Provideniya,RU,64.38,-173.3,3.27,63,1.45,Clear
385,Provideniya,RU,64.38,-173.3,3.27,63,1.45,Clear
386,Kloulklubed,PW,7.04,134.26,25.0,94,2.93,Clouds
387,Kloulklubed,PW,7.04,134.26,25.0,94,2.93,Clouds
388,Cabo San Lucas,MX,22.89,-109.91,35.56,17,7.7,Clear
389,Cabo San Lucas,MX,22.89,-109.91,35.56,17,7.7,Clear
390,Kochkurovo,RU,54.04,45.42,11.93,62,4.17,Clouds
391,Kochkurovo,RU,54.04,45.42,11.93,62,4.17,Clouds
392,Chicama,PE,-7.84,-79.15,24.07,64,4.18,Clouds
393,Chicama,PE,-7.84,-79.15,24.07,64,4.18,Clouds
394,Nikolskoye,RU,59.7,30.79,4.0,93,2.0,Fog
395,Nikolskoye,RU,59.7,30.79,4.0,93,2.0,Fog
396,Morbach,DE,49.82,7.12,8.0,87,1.0,Clouds
397,Morbach,DE,49.82,7.12,8.0,87,1.0,Clouds
398,Guerrero Negro,MX,27.98,-114.06,22.41,58,8.61,Clear
